"scope","document_id","filename","source_url","bytes","sha256"
"technical-release","WAP-194_103-WMLScriptLibraries","WAP-194_103-WMLScriptLibraries-20020318-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-194_103-WMLScriptLibraries-20020318-a.pdf",29777,"7716dbaf7289a1335e9c46a21d0ce209be711f9917f946ca88fab17f1e6a446c"
"technical-release","WAP-194-WMLScriptLibraries","WAP-194-WMLScriptLibraries-20000925-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-194-WMLScriptLibraries-20000925-a.pdf",182952,"cf8ced8446a62fbc958a0beed5097aa3a0a41a864abcdfee86e7ad4f5c3d5680"
"technical-release","WAP-195_101-WAEOverview","WAP-195_101-WAEOverview-20010117-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-195_101-WAEOverview-20010117-a.pdf",19633,"8d5b3e5e428e895e53577b0df2e89c2c5b288dc8d57acdc0eed30d2474186303"
"technical-release","WAP-195-WAEOverview","WAP-195-WAEOverview-20000329-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-195-WAEOverview-20000329-a.pdf",193396,"ad7940d6589f4adf921442ef37325b9a33ca5467502e39f302e84b063c7639d2"
"technical-release","WAP-198_100-WIM","WAP-198_100-WIM-20000630-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-198_100-WIM-20000630-a.pdf",62126,"a8b8822708e59aad9c145471fd022ca223c49a7729a3d8d9bc6db78f61b5c443"
"technical-release","WAP-198_101-WIM","WAP-198_101-WIM-20001031-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-198_101-WIM-20001031-a.pdf",24227,"3e0d277aa48c0bc8cbf44ada2e3aca5411558c47130f02bfbdb438833a8c497e"
"technical-release","WAP-198_102-WIM","WAP-198_102-WIM-20001227-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-198_102-WIM-20001227-a.pdf",78983,"56003b67835707fe2976f28b560083c59fabf2a248704ada4756b2c0f0fff63d"
"technical-release","WAP-198_103-WIM","WAP-198_103-WIM20010214-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-198_103-WIM20010214-a.pdf",59243,"e5399976b1dbaf3aa1a2e8c1cfab0058b265fd37d5960f471133e6388cb8f52b"
"technical-release","WAP-198_105-WIM","WAP-198_105-WIM-20010723-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-198_105-WIM-20010723-a.pdf",55440,"aee38df1ae1b0c6e3ed80cd48210d1f5f85e1cc27c8eb4947584eeffcbe72b46"
"technical-release","WAP-198-WIM","WAP-198-WIM-20000218-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-198-WIM-20000218-a.pdf",270722,"366280ea21c7a3894d12e2329c0cfb76b9e97d9a0fead4e003ac52a9d2213e7a"
"technical-release","WAP-199_102-WTLS","WAP-199_102-WTLS-20010214-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-199_102-WTLS-20010214-a.pdf",29276,"90e1d17bd0fa06baf046d595d97a6f4e5839019d59a7f6b8eef93a85a0b6e149"
"technical-release","WAP-199_103-WTLS","WAP-199_103-WTLS-20010730-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-199_103-WTLS-20010730-a.pdf",55893,"69bda76a4384eafcfdcb0c1f2ee666c9f43372459431cd7ccbb2211ff0280300"
"technical-release","WAP-199_104-WTLS","WAP-199_104-WTLS-20010926-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-199_104-WTLS-20010926-a.pdf",32109,"36da0b765918cce04c6f57c42973ef23f7985ba5d28865ab3cfaa76896a65cfc"
"technical-release","WAP-199_105-WTLS","WAP-199_105-WTLS-20011027-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-199_105-WTLS-20011027-a.pdf",30731,"3ebd065b9c21363cd96d7b69d8bdf7d3498b0198965c263aa74787c533ba68c0"
"technical-release","WAP-199_106-WTLS","WAP-199_106-WTLS-20011027-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-199_106-WTLS-20011027-a.pdf",31514,"5d68ab0d7387f0e6c9d1c5c4e33216148ced71ba7cc95121c8fd319b57f31cb9"
"technical-release","WAP-199-WTLS","WAP-199-WTLS-20000218-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-199-WTLS-20000218-a.pdf",273967,"f15f2a243d6a1d7f89bc279679ca31a6b1599b2c490dcf12a0c02e4d30e6675c"
"technical-release","WAP-200_001-WDP","WAP-200_001-WDP-20001212-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-200_001-WDP-20001212-a.pdf",107049,"c335aeb5038a0b8db025f99250ec3fe77cfe5facce0b7784345dc39cb9c2df35"
"technical-release","WAP-200_002-WDP","WAP-200_002-WDP-20001213-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-200_002-WDP-20001213-a.pdf",50474,"d340608eedb73fd75058532b539aedc261cc6050aedacf3a8c8739ebda5c5132"
"technical-release","WAP-200_003-WDP","WAP-200_003-WDP-20010328-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-200_003-WDP-20010328-a.pdf",63890,"4743542d4b9fbe0a517edc1709679430d6e9498b30e8d2ed7c199f88ce404586"
"technical-release","WAP-200_004-WDP","WAP-200_004-WDP-20010517-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-200_004-WDP-20010517-a.pdf",75520,"36bf5d608c7bf1490326f1d531a72d1539a4fc88d32d4b4b8a6c9d6e06019498"
